Date,Close,Open,High,Low,Volume,Change %
2017-12-22,8432.31,8377.92,8432.31,8364.42,47020.0,0.64%
2017-12-27,8490.91,8427.05,8490.91,8412.89,47950.0,0.69%
2017-12-28,8535.09,8474.99,8571.46,8468.19,106540.0,0.52%
2017-12-29,8558.42,8562.86,8640.04,8535.1,170540.0,0.27%
2018-01-02,8558.42,8562.86,8640.04,8535.1,170540.0,0.00%
2018-01-03,8724.13,8584.46,8724.13,8580.5,129600.0,1.94%
2018-01-04,8739.83,8710.0,8760.26,8690.34,124750.0,0.18%
2018-01-05,8770.0,8743.41,8858.07,8739.74,158230.0,0.35%
2018-01-08,8745.12,8818.9,8820.53,8713.86,99600.0,-0.28%
2018-01-09,8923.72,8758.96,8923.72,8755.4,116130.0,2.04%
2018-01-10,8920.29,8914.25,8926.78,8877.98,96730.0,-0.04%
2018-01-11,8813.25,8908.64,8909.0,8745.63,141640.0,-1.20%
2018-01-12,8814.62,8836.29,8868.56,8803.62,125850.0,0.02%
2018-01-15,8857.72,8844.35,8897.56,8809.53,147110.0,0.49%
2018-01-16,8865.13,8890.74,8969.18,8865.13,141740.0,0.08%
2018-01-17,8848.99,8879.67,8902.27,8821.41,162530.0,-0.18%
2018-01-18,8820.74,8790.05,8822.4,8772.45,173130.0,-0.32%
2018-01-19,8915.92,8824.72,8915.92,8802.78,124470.0,1.08%
2018-01-22,8950.62,8893.14,8975.12,8883.0,98600.0,0.39%
2018-01-23,8999.02,8952.81,8999.02,8916.07,112600.0,0.54%
2018-01-24,8920.23,8992.37,8992.37,8898.21,96370.0,-0.88%
2018-01-25,8999.17,8907.45,8999.17,8907.24,148080.0,0.88%
2018-01-26,9041.2,8995.61,9041.2,8945.32,116740.0,0.47%
2018-01-29,9058.62,9051.75,9078.37,9008.41,119560.0,0.19%
2018-01-30,8910.48,9025.29,9025.29,8838.69,166240.0,-1.64%
2018-01-31,8764.01,8831.83,8831.83,8721.85,150760.0,-1.64%
2018-02-01,8738.72,8748.38,8818.1,8738.72,99360.0,-0.29%
2018-02-02,8810.75,8746.86,8810.75,8746.86,146970.0,0.82%
2018-02-05,8616.0,8680.59,8680.59,8555.55,152490.0,-2.21%
2018-02-06,8550.42,8475.08,8550.42,8379.83,150030.0,-0.76%
2018-02-07,8667.56,8648.0,8700.56,8603.18,115340.0,1.37%
2018-02-08,8645.08,8679.37,8679.37,8601.53,95000.0,-0.26%
2018-02-09,8503.69,8545.88,8546.02,8421.74,114160.0,-1.64%
2018-02-12,8487.91,8533.8,8554.51,8460.56,85890.0,-0.19%
2018-02-13,8570.14,8514.06,8570.14,8476.46,125570.0,0.97%
2018-02-14,8598.11,8563.57,8598.11,8498.57,169610.0,0.33%
2018-02-15,8612.44,8603.71,8612.44,8505.86,179690.0,0.17%
2018-02-19,8710.22,8593.87,8757.83,8538.2,110780.0,1.14%
2018-02-20,8722.7,8727.16,8728.08,8637.77,126920.0,0.14%
2018-02-21,8613.65,8677.51,8677.51,8613.5,149140.0,-1.25%
2018-02-22,8515.57,8598.5,8605.93,8472.89,136830.0,-1.14%
2018-02-23,8467.56,8520.73,8526.23,8465.79,114550.0,-0.56%
2018-02-26,8499.98,8450.15,8499.98,8373.68,113780.0,0.38%
2018-02-27,8592.38,8507.68,8592.38,8507.45,147010.0,1.09%
2018-02-28,8475.29,8538.53,8575.44,8475.29,157800.0,-1.36%
2018-03-01,8465.77,8471.22,8503.68,8429.75,103060.0,-0.11%
2018-03-02,8458.57,8414.94,8458.57,8337.69,86430.0,-0.09%
2018-03-05,8386.17,8434.67,8449.82,8350.53,61360.0,-0.86%
2018-03-06,8360.22,8388.02,8411.76,8344.84,142960.0,-0.31%
2018-03-07,8404.69,8373.62,8404.69,8333.11,109850.0,0.53%
2018-03-08,8381.85,8388.08,8389.74,8350.53,95440.0,-0.27%
2018-03-09,8372.51,8401.33,8409.75,8367.63,100780.0,-0.11%
2018-03-12,8453.5,8442.25,8484.65,8425.93,136120.0,0.97%
2018-03-13,8419.57,8454.09,8462.25,8397.96,96030.0,-0.40%
2018-03-14,8348.74,8430.03,8430.03,8284.76,101220.0,-0.84%
2018-03-15,8190.01,8322.1,8326.01,8190.01,110940.0,-1.90%
2018-03-16,8238.15,8200.14,8258.09,8156.19,289470.0,0.59%
2018-03-19,8235.54,8236.54,8240.13,8169.0,152700.0,-0.03%
2018-03-20,8059.6,8180.25,8180.25,8015.49,134720.0,-2.14%
2018-03-21,7909.07,8097.59,8097.59,7909.07,157640.0,-1.87%
2018-03-22,8124.45,7934.83,8124.45,7928.75,130460.00000000001,2.72%
